GammaVision Nuclide Library Suspect.Lib                         Page:   1
     1179.51keV            1%            G-------

     Kr-89           189 Sec.     0.1000 --I-----
      220.95keV         20.1%            G-------
      586.03keV         16.6%            G-------
      904.27keV          7.2%            G-------
     1472.76keV          6.9%            G-------
      497.38keV          6.7%            G-------
      867.08keV          5.9%            G-------
      576.96keV          5.7%            G-------
     1533.68keV          5.1%            G-------
     1693.70keV          4.4%            G-------
      738.39keV          4.2%            G-------
      356.16keV          4.2%            G-------
     1530.04keV          3.3%            G-------
     1324.28keV          3.1%            G-------
     1107.78keV          2.9%            G-------
      411.42keV         2.57%            G-------
      197.50keV         1.83%            G-------
      696.24keV         1.79%            G-------
     2866.23keV         1.75%            G-------
     1116.61keV         1.67%            G-------
     2012.23keV         1.57%            G-------

     Rb-86         18.63 Days     0.1000 TF------
     1077.00keV         8.64%            G-------
       12.65keV     0.001638%            -X------
       12.60keV     0.000846%            -X------
       14.10keV     0.000417%            -X------

     Rb-89         15.15 Min.     0.1000 --I-----
     1031.92keV           58%            G-------
     1248.14keV           43%            G-------
     2195.92keV         13.3%            G-------
      657.77keV           10%            G-------
     2570.20keV          9.9%            G-------
      947.73keV          9.2%            G-------
     1538.07keV          2.6%            G-------
     2007.50keV          2.4%            G-------
     2707.26keV         2.03%            G-------
      272.42keV         1.42%            G-------
     3509.00keV         1.15%            G-------
      289.76keV         0.54%            G-------
     1473.29keV         0.35%            G-------
     1939.95keV         0.33%            G-------
     2058.00keV         0.23%            G-------
     1025.30keV         0.23%            G-------
     1220.35keV         0.22%            G-------
     1501.00keV        0.197%            G-------
     2280.00keV         0.18%            G-------
      766.76keV        0.162%            G-------

     Sr-91          9.63 Hrs.     0.1000 -FI-----
     1024.30keV         33.4%            G-------
      749.80keV         23.6%            G-------
      652.90keV            8%            G-------
      925.80keV          3.8%            G-------
      652.30keV            3%            G-------
      620.10keV         1.77%            G-------
      274.70keV         1.03%            G-------
     1413.40keV         0.98%            G-------
     1280.90keV         0.93%            G-------
      761.40keV         0.57%            G-------
      631.30keV         0.55%            G-------
      261.20keV         0.45%            G-------
      653.00keV         0.37%            G-------
     1651.40keV        0.291%            G-------
      272.60keV         0.26%            G-------
     1054.60keV        0.224%            G-------
      879.70keV        0.187%            G-------
     1473.80keV        0.167%            G-------
     1724.00keV         0.16%            G-------
      820.80keV         0.16%            G-------

      Y-88         106.7 Days     0.1000 -F--PC--
     1836.06keV         99.2%            G-------
      898.04keV         93.7%            G-------
       14.16keV        33.69%            -X------
       14.10keV        17.46%            -X------
       15.80keV         9.05%            -X------
     2734.00keV         0.71%            G-------
      511.00keV         0.42%            G-------
      850.60keV        0.065%            G-------
     1382.20keV        0.021%            G-------
     3219.70keV     0.007046%            G-------

      Y-91         58.51 Days     0.1000 -FI-----
     1204.67keV          0.3%            G-------

     Zr-95         64.02 Days     0.1000 TFI-----
      756.73keV        54.46%            G-------
      724.20keV        44.17%            G-------
       16.62keV        0.319%            -X------
      235.69keV        0.294%            G-------
       16.52keV        0.166%            -X------
       18.60keV        0.092%            -X------

     Nb-94     2.03E+004 Yrs.     0.1000 T-I-----
      871.09keV         99.9%            G-------
      702.62keV         97.9%            G-------

     Nb-95         34.98 Days     0.1000 TFI-----
      765.81keV        99.81%            G-------
       17.48keV        0.054%            -X------
      204.12keV        0.028%            G-------
       17.37keV        0.028%            -X------
       19.60keV      0.01596%            -X------
      561.88keV        0.013%            G-------

     Mo-99         65.94 Hrs.     0.1000 T-I-----
      739.50keV        12.13%            G-------
      181.07keV         5.99%            G-------
      140.51keV         4.52%            G-------
      777.92keV         4.26%            G-------
       18.37keV            2%            -X------
      366.42keV        1.191%            G-------
       40.58keV         1.05%            G-------
       18.25keV         1.04%            -X------
       20.60keV        0.599%            -X------
      822.97keV        0.133%            G-------
      960.75keV        0.095%            G-------
      528.79keV        0.057%            G-------
      621.77keV      0.02584%            G-------
      158.78keV      0.01892%            G-------
      411.49keV      0.01456%            G-------
      162.37keV      0.01189%            G-------
      380.13keV      0.01043%            G-------
      457.60keV     0.008127%            G-------
      861.20keV        0.007%            G-------

    Ru-103         39.26 Days     0.1000 TFI-----
      497.08keV           91%            G-------
      610.33keV         5.76%            G-------
       20.22keV          4.9%            -X------
       20.07keV          2.6%            -X------
       22.70keV         1.52%            -X------
      557.04keV        0.868%            G-------
       53.28keV        0.443%            G-------
      443.80keV        0.345%            G-------
      294.98keV        0.303%            G-------
      612.02keV        0.107%            G-------
       39.76keV      0.06916%            G-------
      317.77keV        0.019%            G-------
      241.88keV      0.01802%            G-------
      514.60keV      0.01138%            G-------
      357.39keV     0.009373%            G-------
      114.97keV     0.007371%            G-------
      651.80keV     0.006916%            G-------
      292.70keV     0.005733%            G-------
       42.63keV     0.005187%            G-------

    Rh-106          29.8 Sec.     0.1000 -FI-----
      511.86keV         20.4%            G-------
      621.93keV         9.93%            G-------
     1050.41keV         1.56%            G-------
      616.22keV         0.75%            G-------
      873.49keV        0.439%            G-------
     1128.07keV        0.404%            G-------
     1562.25keV        0.163%            G-------
      428.40keV        0.071%            G-------
       21.18keV      0.05743%            -X------
     1194.54keV      0.05732%            G-------
     2112.54keV      0.03448%            G-------
     1766.25keV      0.03427%            G-------
     1062.14keV      0.03203%            G-------
       21.02keV      0.03027%            -X------
     1796.94keV      0.02774%            G-------
     1988.44keV      0.02611%            G-------
     2366.04keV      0.02326%            G-------
     1496.33keV      0.02224%            G-------
      434.25keV       0.0202%            G-------
       23.80keV      0.01824%            -X------

    Ag-108         142.2 Sec.     0.1000 TF------
      632.98keV         1.76%            G-------
